location_name,map_name,x,y,z,roll,pitch,yaw,pose_name,pose_type
云幕,1,-4.630000,-3.030000,0.000000,0.000000,0.000000,0.000000,1F_Lift_Inside,4
云幕,2,-5.620000,-5.420000,0.000000,0.000000,0.000000,0.000000,2F_Lift_Inside,4
云幕,2,-6.390000,-3.990000,0.000000,0.000000,0.000000,0.000000,2F_Lift_Outside,3
云幕,2,-0.610000,6.440000,0.000000,0.000000,0.000000,0.000000,333,0
云幕,4,-5.850000,-1.580000,0.000000,0.000000,0.000000,0.000000,401,0
云幕,2,4.180000,2.240000,0.000000,0.000000,0.000000,0.000000,44,0
云幕,5,-2.310000,0.060000,0.000000,0.000000,0.000000,0.000000,5F_Lift_In,4
云幕,5,-0.570000,-0.160000,0.000000,0.000000,0.000000,0.000000,5F_Lift_Out,3
云幕,3,2.290000,0.210000,0.000000,0.000000,0.000000,0.000000,lift_inside_3F_37119,4
云幕,1,-4.860000,-1.590000,0.000000,0.000000,0.000000,0.000000,lift_out_1,3
云幕,3,0.210000,0.008000,0.000000,0.000000,0.000000,0.000000,lift_outside_3F_37119,3
云幕,3,-0.230000,-3.210000,0.000000,0.000000,0.000000,0.000000,p05,0
云幕,2,0.260000,5.260000,0.000000,0.000000,0.000000,0.000000,p1,0
云幕,2,0.740000,4.020000,0.000000,0.000000,0.000000,0.000000,p2,0
云幕,2,1.400000,2.600000,0.000000,0.000000,0.000000,0.000000,p3,0
云幕,2,4.580000,-0.920000,0.000000,0.000000,0.000000,0.000000,p4,0
云幕,2,0.620000,1.160000,0.000000,0.000000,0.000000,0.000000,p5_1,0
云幕,2,-1.030000,7.000000,0.000000,0.000000,0.000000,0.000000,充电桩2楼点位,11
云幕,4,-0.290000,2.060000,0.000000,0.000000,0.000000,0.000000,电梯内,4
云幕,4,0.110000,0.500000,0.000000,0.000000,0.000000,0.000000,电梯外,3
云幕,2,-9.890000,-4.580000,0.000000,0.000000,0.000000,0.000000,画1,0
云幕,2,-8.860000,-5.840000,0.000000,0.000000,0.000000,0.000000,画2,0
云幕,2,-7.600000,-7.330000,0.000000,0.000000,0.000000,0.000000,画3,0
云幕,2,-2.400000,-17.610000,0.000000,0.000000,0.000000,0.000000,画4,0
云幕,2,0.950000,-18.640000,0.000000,0.000000,0.000000,0.000000,画5,0
云幕,5,0.410000,2.840000,0.000000,0.000000,0.000000,0.000000,董事长办公室,0
云幕,1,-8.010000,3.970000,0.000000,0.000000,0.000000,0.000000,迎宾专位,0
