Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0125889880465298,1.42018773963137E-08,0.0310122702224599,0,0,0,7.8579931219516,0.00868865798988831,9.53418507228387E-10,5.40624908269756E-06,0.00881970311907807,-4.2190176908205E-06,0.00849417810381333,0,0,0,0,0,0,package://ymbot_xiaoxue_description/meshes/base_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ymbot_xiaoxue_description/meshes/base_link.STL,,仿生人腰部-1/腰部安装板-1;仿生人腰部-1/PH20L固定座2-2;仿生人腰部-1/PH20L固定座2-3;仿生人腰部-1/PH20L-3;仿生人腰部-1/PH20L-2;仿生人腰部-1/PH20L浮动座1-2;仿生人腰部-1/PH20L浮动座1-3;仿生人腰部-1/PH20L固定座2-1;仿生人腰部-1/PH20L-1;仿生人腰部-1/PH20L浮动座1-1,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Left_Leg_Link1,0.0874934592171803,2.59153809523127E-11,-0.0370360699259347,0,0,0,1.72309358317879,0.0015922906483937,1.15121517040923E-11,0.000178645591816195,0.00272704042199334,-7.06622098017009E-15,0.00243456654520775,0,0,0,0,0,0,package://ymbot_xiaoxue_description/meshes/Left_Leg_Link1.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ymbot_xiaoxue_description/meshes/Left_Leg_Link1.STL,,PH20L固定座3-修改-1;PH17D-2,坐标系1,基准轴1,Left_Leg_Joint1,revolute,0.00044766,0.105,0,0,0,0,base_link,1,0,0,100,1,-3.14,3.14,,,0.01,0.01,,,,
Left_Leg_Link2,-0.0647598914332694,0.000110923672221097,-0.0265738395138879,0,0,0,0.360457877418657,0.000901964191502604,6.09369326565331E-07,-0.000108877079465775,0.000739469831948707,1.89629434431727E-06,0.00101821414362991,0,0,0,0,0,0,package://ymbot_xiaoxue_description/meshes/Left_Leg_Link2.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ymbot_xiaoxue_description/meshes/Left_Leg_Link2.STL,,PH20L固定座4-修改-1,坐标系2,基准轴2,Left_Leg_Joint2,revolute,0.105,0,-0.0725,0,0,0,Left_Leg_Link1,0,0,1,0,0,0,0,,,,,,,,
Left_Leg_Link3,0.00304835122705108,0.000167788737737817,-0.0529247216367146,0,0,0,3.87844062750824,0.0089982181729244,1.36120392269973E-09,0.000194555503446436,0.00788282205860851,9.30098267559907E-09,0.00703651198397195,0,0,0,0,0,0,package://ymbot_xiaoxue_description/meshes/Left_Leg_Link3.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ymbot_xiaoxue_description/meshes/Left_Leg_Link3.STL,,仿生人腰部-1/PH20L固定座2-5;仿生人腰部-1/PH20L-5;仿生人腰部-1/PH20L浮动座1-5;仿生人腰部-1/大腿骨架转接板-2;大腿骨架-男款-修改-1,坐标系3,基准轴3,Left_Leg_Joint3,revolute,-0.08,0.00089533,-0.074,0,0,0,Left_Leg_Link2,0,-1,0,0,0,0,0,,,,,,,,
Left_Leg_Link4,0.00129749780655422,0.00179278063630245,-0.139177483528115,0,0,0,3.97638648895733,0.0125091382101269,-2.14444586058409E-06,8.89822456192154E-05,0.0132811392028663,5.25133397667278E-05,0.00347681362177967,0,0,0,0,0,0,package://ymbot_xiaoxue_description/meshes/Left_Leg_Link4.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ymbot_xiaoxue_description/meshes/Left_Leg_Link4.STL,,小腿骨架-男款-修改-1;PH17D-1;PH17浮动座-1;PH14L-2;PH14L浮动座1-1,坐标系4,基准轴4,Left_Leg_Joint4,revolute,0,-0.00089533,-0.26,0,0,0,Left_Leg_Link3,0,-1,0,0,0,0,0,,,,,,,,
Left_Leg_Link5,0.00126669649612576,-3.53600482227989E-12,-0.0821426341666449,0,0,0,1.54295243073041,0.00129823895502965,-2.45450947682841E-10,-1.6909931144951E-14,0.00107536536137022,2.32218193078896E-08,0.00135976311046039,0,0,0,0,0,0,package://ymbot_xiaoxue_description/meshes/Left_Leg_Link5.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ymbot_xiaoxue_description/meshes/Left_Leg_Link5.STL,,新脚踝连接件-1;PH14L-3;PH14L浮动座1-2,坐标系5,基准轴5,Left_Leg_Joint5,revolute,0,0,-0.318,0,0,0,Left_Leg_Link4,0,-1,0,0,0,0,0,,,,,,,,
Left_Leg_Link6,0.0583497778087123,-5.55111512312578E-17,-0.0437046133228508,0,0,0,0.68324148295775,0.00045247793853001,-1.41823789900869E-18,6.9128609278287E-07,0.00267060486728031,-1.71621207563994E-19,0.00302732030830878,0,0,0,0,0,0,package://ymbot_xiaoxue_description/meshes/Left_Leg_Link6.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ymbot_xiaoxue_description/meshes/Left_Leg_Link6.STL,,脚底支撑板-修改-1;脚踝支撑座-2;脚踝支撑座-1,坐标系6,基准轴6,Left_Leg_Joint6,revolute,0,0,-0.088,0,0,0,Left_Leg_Link5,-1,0,0,0,0,0,0,,,,,,,,
Right_Leg_Link1,0.0883887881395281,2.59154919746152E-11,-0.0370360699259347,0,0,0,1.72309358317879,0.0015922906483937,1.15121516183362E-11,0.000178645591816199,0.00272704042199334,-7.06606841792164E-15,0.00243456654520774,0,0,0,0,0,0,package://ymbot_xiaoxue_description/meshes/Right_Leg_Link1.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ymbot_xiaoxue_description/meshes/Right_Leg_Link1.STL,,PH20L固定座3-修改-2;PH17D-3,坐标系7,基准轴7,Right_Leg_Joint1,revolute,-0.00044766,-0.105,0,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
Right_Leg_Link2,-0.0647598914563343,0.000110923443845945,-0.0265738395436379,0,0,0,0.360457875058491,0.000901964188248899,6.09369516519945E-07,-0.000108877079537363,0.000739469831708448,1.89629494879761E-06,0.00101821414046651,0,0,0,0,0,0,package://ymbot_xiaoxue_description/meshes/Right_Leg_Link2.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ymbot_xiaoxue_description/meshes/Right_Leg_Link2.STL,,PH20L固定座4-修改-2,坐标系8,基准轴8,Right_Leg_Joint2,revolute,0.1059,0,-0.0725,0,0,0,Right_Leg_Link1,0,0,1,0,0,0,0,,,,,,,,
Right_Leg_Link3,0.0030483512270511,0.00106311766008571,-0.0529247216367146,0,0,0,3.87844062750824,0.00899821817292438,1.36120392702443E-09,0.000194555503446429,0.00788282205860849,9.30098267007742E-09,0.00703651198397195,0,0,0,0,0,0,package://ymbot_xiaoxue_description/meshes/Right_Leg_Link3.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ymbot_xiaoxue_description/meshes/Right_Leg_Link3.STL,,仿生人腰部-2/PH20L固定座2-5;仿生人腰部-2/PH20L-5;仿生人腰部-2/PH20L浮动座1-5;仿生人腰部-2/大腿骨架转接板-2;大腿骨架-男款-修改-2,坐标系9,基准轴9,Right_Leg_Joint3,revolute,-0.08,0,-0.074,0,0,0,Right_Leg_Link2,0,-1,0,0,0,0,0,,,,,,,,
